id,course,name,intro,introformat,grade,globalid,timeopen,timeclose,timelimit,memlimit,nproc,timediscount,discount,allowlate,attempts,keeplatestonly,inputfile,outputfile,presetcode,generator,validator,generatortype,validatortype,validatorlang,showmode,timemodified,completionac
23216,1717,5. 简单的 printf 和 scanf,"<p>??? printf函数和scanf函数是C语言中最常用的函数之一，下面让我们练习一下吧。</p>
<p><strong>输入：<br /></strong>??? 整型变量x的值。</p>
<p><strong>输出：<br /></strong>??? 输出整型变量x对应的十进制、八进制和十六进制形式。</p>
<p><span style=""color: #0000ff;"" color=""#0000ff"">认真看看 -1 的八进制和十六进制输出，请想想是为什么。</span></p>",1,5,,1568613600,1573055700,1,0,0,1570377300,8,0,0,1,,,,,,0,0,,1,1572346841,0
23217,1717,2. 【入门】Welcome to Beijing.,"<p>让我们来练习如何显示多行文字。</p>
<p><strong>输入：</strong>无</p>
<p><strong>输出：</strong>就是下面的那段文字。</p>",1,5,,1568613600,1573055700,1,0,0,1570377300,8,0,0,1,,,,,,0,0,,1,1572346739,0
23218,1717,1. 【入门】Hello world.,"<p style=""margin-right: 0px;"" dir=""ltr"">让我们用C语言向世界问好。</p>
<p>最早的程序基本是这个样子的：</p>
<p style=""font-family: courier new,courier,monospace;"" face=""courier new,courier,monospace""><span style=""font-family: courier new,courier,monospace;"" face=""courier new,courier,monospace"">#include <span style=""color: #8b0000;"" color=""#8b0000"">&lt;</span><span style=""color: #ff0000;"" color=""#ff0000"">stdio.h</span></span><span style=""font-family: courier new,courier,monospace;"" face=""courier new,courier,monospace""><span style=""color: #8b0000;"" color=""#8b0000"">&gt;<br /></span>int <span style=""color: #0000ff;"" color=""#0000ff"">main</span></span><span style=""font-family: courier new,courier,monospace; color: #808000;"" face=""courier new,courier,monospace"" color=""#808000"">()<br /></span><span style=""font-family: courier new,courier,monospace;"" face=""courier new,courier,monospace""><span style=""color: #808000;"" color=""#808000"">{<br /></span><span style=""color: #0000ff;"" color=""#0000ff"">??? printf</span><span style=""color: #808000;"" color=""#808000"">(</span><span style=""color: #8b0000;"" color=""#8b0000"">""</span><span style=""color: #ff0000;"" color=""#ff0000"">Hello world.</span><span style=""color: #000080;"" color=""#000080"">\</span><span style=""color: #ff0000;"" color=""#ff0000"">n</span><span style=""color: #8b0000;"" color=""#8b0000"">""</span><span style=""color: #808000;"" color=""#808000"">)</span></span><span style=""font-family: courier new,courier,monospace;"" face=""courier new,courier,monospace""><span style=""color: #808080;"" color=""#808080"">;<br /></span><span style=""color: #808080;"" color=""#808080"">??? </span><span style=""color: #008000;"" color=""#008000"">return </span><span style=""color: #808080;"" color=""#808080""></span><span style=""color: #800000;"" color=""#800000"">0</span></span><span style=""font-family: courier new,courier,monospace;"" face=""courier new,courier,monospace""><span style=""color: #808080;"" color=""#808080"">;<br /></span><span style=""color: #808000;"" color=""#808000"">}</span></span></p>
<p>请模仿上面的程序，看看是否可以通过编译？如果你能通过这个简单的程序，那就让我们继续完成后面的习题吧。</p>
<p><strong>输入：</strong>无</p>
<p><strong>输出：</strong>Hello world.</p>",1,5,,1568613600,1573055700,1,0,0,1570377300,8,0,0,0,,,,,,0,0,,1,1572346723,1
23219,1717,3. 【入门】求A+B,"<p>我们已经学了如何使用 scanf 函数中输入整型数据（%d），下面让我们使用 scanf 函数来输入两个整数，然后求它们的和。</p>
<p><strong>输入：<br /></strong>??? 整数1? 整数2</p>
<p><strong>输出：<br /></strong>??? 整数1+整数2=和</p>",1,5,,1568613600,1573055700,1,0,0,1570377300,8,0,0,0,,,,,,0,0,,1,1572346804,1
23220,1717,4. 【入门】求整数的 3次方,"<p>输入一个整数 x，输出 x 的3次方。想一想，在C语言中如何用公式来表达 x 的 3次方？</p>
<p><strong>输入：</strong>一个整数。</p>
<p><strong>输出：</strong>该整数的 3 次方值。</p>",1,5,,1568613600,1573055700,1,0,0,1570377300,8,0,0,0,,,,,,0,0,,1,1572346782,1
23221,1717,6. 【入门】整数比大小,"<p>小明上了小学一年级，老师开始教他认识两个数哪个大，哪个小。计算机要学会这个可以使用 if 语句，也可以使用三目运算 ? 。</p>
<p><strong>输入：</strong>两个整型数</p>
<p><strong>输出：</strong>两个整型值中的最小值</p>",1,5,,1569218400,1573401300,1,0,0,1570722900,8,0,0,0,,,,,,0,0,,1,1572346874,0
23222,1717,7. 【入门】输出字符的 ASCII 码,"<p><b>背景：</b><b></b></p>
<p>我们在计算机基础中已经学过：字母在计算机中采用ASCII码进行存储。下面要从键盘上输入任意一个字符，然后输出该字符对应的ASCII码。</p>
<p><b>输入：</b><b></b></p>
<p>??? 一个字符</p>
<p><b>输出：</b><b></b></p>
<p>??? 该字符对应的ASCII码</p>
<p><b>说明：</b><b></b></p>
<p>如果编程有问题，请先看看教材P51的例题3-4，然后再办法发挥一下……</p>",1,5,,1569222000,1573401300,1,0,0,1570722900,8,0,0,0,,,,,,0,0,,1,1572346890,1
23223,1717,8. 【中学】计算圆柱的侧面积及体积,"<p>该如何处理 double 型的数据：如何定义变量类型？如何使用 scanf 函数？</p>
<p>如果已知圆柱的底面半径 r ，以及高 h ，则可计算出圆柱的侧面积 s=2 π r h ，体积 v=π r <sup>2 </sup>h 。其中 π=3.1415926。</p>
<p><strong>输入： </strong><br />第一行输入圆柱的底面半径 r<br />第二行输入圆柱的高 h</p>
<p><strong>输出： </strong><br />s=&lt; 圆柱的侧面积 &gt;,v=&lt; 圆柱的体积 &gt;</p>
<p><strong>要求 </strong><br />1. 所有变量都定义为双精度类型<br />2. 结果精确到小数点后两位</p>",1,5,,1569218400,1573401300,1,0,0,1570722900,8,0,0,1,,,,,,0,0,,1,1572346905,0
23224,1717,9. 【小学】一年级的算术题,"<h4>背景：<br />??????小明上小学一年级了，老师已经教会了他们整数的 +、-、*、/、% 计算，下面老师开始出题，请小明给出计算结果。</h4>
<p><strong>输入：<br /></strong>??? 两个整数，每个整数之间使用空格分隔。例如输入格式为：123? 444</p>
<p><strong>输出：<br /></strong>??? 分别输出按照整型数据进行 +、-、*、/、* 之后的运行结果。</p>",1,5,,1569222000,1573401300,1,0,0,1570722900,8,0,0,1,,,,,,0,0,,1,1572346926,1
23225,1717,10. 【中学】判断三角形的形状,"<h2 style=""text-align: left;""><span style=""color: inherit; font-family: inherit;"">要求：</span></h2>
<p>输入三角型的三条边，判断三角形的形状。假设输入的三边边长均&gt;0。</p>
<p>（提示：本题中应该要用到 if 语句嵌套）</p>
<h2 style=""text-align: left;"">输入：</h2>
<p>三角型的3条边的长度（int型）。</p>
<h2 style=""text-align: left;"">输出：</h2>
<p>等边三角形：equilateral triangle.<br />等腰三角形：isoceles triangle.<br />不构成三角形：non-triangle.<br />一般三角形：triangle.</p>",1,5,,1569218400,1573401300,1,0,0,1570722900,8,0,0,1,,,,,,0,0,,1,1572346948,1
